Matematika,Bahasa_Inggris,IPA,IPS,Minat,Hobi,Kemampuan_Komputer,Kemampuan_Komunikasi,Kemampuan_Kepemimpinan,Kemampuan_Analisis,Kemampuan_Kreativitas,Kemampuan_Problem_Solving,Mata_Pelajaran_Favorit,Gaya_Belajar,Tujuan_Karier,Aktivitas_Organisasi,Prestasi_Akademik,Prestasi_NonAkademik,Jurusan
91,90,83,83,Lingkungan,Volunteering,Rendah,Sedang,Tinggi,Sedang,Sedang,Sedang,Kimia,Membaca/Menulis,Konsultan Lingkungan,Pramuka,Kecamatan - Sains,Organisasi - Nasional,Teknik Lingkungan
79,84,66,82,Bisnis,Berjualan,Tinggi,Tinggi,Sedang,Rendah,Tinggi,Rendah,Biologi,Auditori,Data Scientist,Karang Taruna,Sekolah - Ekonomi,Organisasi - Sekolah,Administrasi Bisnis
76,83,72,79,Bisnis,Content Creator,Rendah,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Ekonomi,Auditori,Manajer,MPK,Kecamatan - Ekonomi,Kepemimpinan - Sekolah,Manajemen
59,63,85,86,Olahraga,Sepak Bola,Sedang,Sedang,Tinggi,Sedang,Rendah,Sedang,PJOK,Kinestetik,Pelatih Olahraga,OSIS,Kecamatan - Matematika,Olahraga - Kabupaten,Ilmu Keolahragaan
82,86,66,81,Teknik,Desain Grafis,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Rendah,Kimia,Membaca/Menulis,UI UX Designer,Komunitas Seni,Kabupaten - Sains,Kepemimpinan - Sekolah,Arsitektur
75,77,66,69,Pendidikan,Taekwondo,Sedang,Tinggi,Rendah,Sedang,Rendah,Tinggi,Fisika,Kinestetik,Network Engineer,MPK,Sekolah - Matematika,Organisasi - Kecamatan,Ilmu Keolahragaan
68,85,78,78,Bisnis,Berjualan,Sedang,Rendah,Sedang,Sedang,Rendah,Sedang,Geografi,Visual,Manajer,Tidak Aktif,Kecamatan - Ekonomi,Seni - Provinsi,Administrasi Bisnis
79,78,80,75,Sosial,Membaca,Sedang,Tinggi,Tinggi,Rendah,Tinggi,Rendah,Fisika,Auditori,Entrepreneur,Pramuka,Tidak Ada,Tidak Ada,Akuntansi
91,71,90,70,Lingkungan,Penelitian,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Tinggi,Kimia,Membaca/Menulis,Konsultan Lingkungan,Karang Taruna,Tidak Ada,Tidak Ada,Teknik Lingkungan
97,82,84,55,Teknik,Merakit Elektronik,Sedang,Rendah,Tinggi,Tinggi,Sedang,Sedang,Fisika,Kinestetik,Insinyur Sipil,BEM,Kecamatan - Matematika,Organisasi - Provinsi,Teknik Sipil
100,69,85,70,Kesehatan,Penelitian,Sedang,Tinggi,Sedang,Tinggi,Rendah,Tinggi,Kimia,Visual,Apoteker,Pramuka,Nasional - Kimia,Tidak Ada,Farmasi
97,90,88,52,Teknologi,Mobile Development,Tinggi,Tinggi,Rendah,Sedang,Tinggi,Sedang,Informatika,Visual,Data Scientist,OSIS,Nasional - Fisika,Organisasi - Internasional,Teknik Informatika
61,93,64,95,Sosial,Debat,Sedang,Sedang,Tinggi,Tinggi,Sedang,Tinggi,Sosiologi,Auditori,Pengacara,OSIS,Sekolah - Bahasa Inggris,Kepemimpinan - Internasional,Hukum
69,67,71,70,Olahraga,Sepak Bola,Rendah,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,PJOK,Kinestetik,Dosen,Pramuka,Sekolah - Matematika,Paskibra - Sekolah,Ilmu Keolahragaan
80,76,78,80,Olahraga,Atletik,Rendah,Sedang,Sedang,Tinggi,Tinggi,Rendah,Seni Budaya,Kinestetik,Dokter,Pramuka,Kabupaten - Biologi,Tidak Ada,Ilmu Keolahragaan
88,79,78,73,Lingkungan,Membaca,Rendah,Sedang,Sedang,Sedang,Tinggi,Sedang,Biologi,Kinestetik,Konsultan Lingkungan,PMR,Tidak Ada,Olahraga - Sekolah,Teknik Lingkungan
82,83,74,84,Pendidikan,Membaca,Tinggi,Tinggi,Sedang,Sedang,Sedang,Sedang,Sosiologi,Membaca/Menulis,Guru,PMR,Tidak Ada,Organisasi - Nasional,Pendidikan
82,82,100,67,Kesehatan,Penelitian,Sedang,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Biologi,Membaca/Menulis,Dokter,Komunitas Olahraga,Kabupaten - Biologi,Kepemimpinan - Provinsi,Kedokteran
85,75,96,76,Teknologi,Robotika,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Fisika,Visual,Network Engineer,Komunitas IT,Tidak Ada,Tidak Ada,Teknik Informatika
66,75,52,73,Seni,Video Editing,Tinggi,Rendah,Sedang,Sedang,Tinggi,Tinggi,Biologi,Membaca/Menulis,Guru,Paskibra,Tidak Ada,Tidak Ada,Desain Komunikasi Visual
91,65,94,51,Teknik,Penelitian,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Matematika,Visual,Insinyur Sipil,Tidak Aktif,Tidak Ada,Organisasi - Kabupaten,Teknik Sipil
88,82,82,82,Kesehatan,Penelitian,Sedang,Tinggi,Sedang,Tinggi,Rendah,Tinggi,Matematika,Visual,Dokter,Komunitas Olahraga,Nasional - Sains,Organisasi - Kecamatan,Kedokteran
88,73,98,66,Teknologi,Robotika,Tinggi,Sedang,Rendah,Tinggi,Sedang,Sedang,Informatika,Membaca/Menulis,Software Engineer,Komunitas IT,Tidak Ada,Organisasi - Internasional,Teknik Informatika
74,86,62,74,Teknik,Menulis,Tinggi,Sedang,Tinggi,Sedang,Rendah,Tinggi,Bahasa Inggris,Visual,Konsultan Lingkungan,Pramuka,Kecamatan - Kimia,Olahraga - Provinsi,Teknik Lingkungan
90,75,72,85,Bisnis,Investasi,Tinggi,Sedang,Sedang,Tinggi,Rendah,Tinggi,Matematika,Visual,Business Analyst,Organisasi Keagamaan,Tidak Ada,Seni - Provinsi,Akuntansi
88,90,77,82,Seni,Penelitian,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Tinggi,Fisika,Kinestetik,Arsitek,BEM,Kabupaten - Sains,Kepemimpinan - Kabupaten,Arsitektur
96,65,95,65,Teknologi,Robotika,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Sedang,Matematika,Visual,Data Scientist,OSIS,Sekolah - Informatika,Organisasi - Kecamatan,Teknik Informatika
50,61,85,70,Olahraga,Taekwondo,Sedang,Rendah,Sedang,Tinggi,Rendah,Tinggi,Biologi,Kinestetik,Guru,OSIS,Sekolah - Sains,Olahraga - Sekolah,Ilmu Keolahragaan
88,90,68,83,Pendidikan,Membaca,Sedang,Rendah,Tinggi,Rendah,Tinggi,Rendah,Biologi,Auditori,Arsitek,OSIS,Sekolah - Matematika,Organisasi - Provinsi,Pendidikan
100,64,58,93,Bisnis,Membaca,Rendah,Sedang,Tinggi,Sedang,Sedang,Sedang,Ekonomi,Visual,Akuntan,Organisasi Keagamaan,Provinsi - Ekonomi,Olahraga - Kabupaten,Akuntansi
64,93,64,82,Bisnis,Content Creator,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Sosiologi,Auditori,Manajer,BEM,Tidak Ada,Kepemimpinan - Kecamatan,Manajemen
75,63,70,61,Seni,Menggambar,Tinggi,Sedang,Sedang,Sedang,Tinggi,Tinggi,Bahasa Inggris,Visual,UI UX Designer,OSIS,Sekolah - Sains,Kepemimpinan - Sekolah,Desain Komunikasi Visual
74,64,81,77,Lingkungan,Penelitian,Sedang,Rendah,Rendah,Tinggi,Sedang,Tinggi,Fisika,Membaca/Menulis,Konsultan Lingkungan,Pramuka,Tidak Ada,Kepemimpinan - Provinsi,Teknik Lingkungan
64,64,67,83,Pendidikan,Esport,Sedang,Sedang,Rendah,Sedang,Sedang,Tinggi,Fisika,Kinestetik,Entrepreneur,PMR,Sekolah - Biologi,Olahraga - Kecamatan,Ilmu Keolahragaan
84,72,85,63,Lingkungan,Membaca,Rendah,Sedang,Rendah,Tinggi,Sedang,Sedang,Fisika,Kinestetik,Konsultan Lingkungan,OSIS,Kecamatan - Biologi,Seni - Kecamatan,Teknik Lingkungan
72,77,70,81,Pendidikan,Menulis,Rendah,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Bahasa Inggris,Auditori,Guru,Paskibra,Provinsi - Debat,Organisasi - Kabupaten,Pendidikan
61,85,62,70,Teknik,Basket,Tinggi,Sedang,Rendah,Sedang,Rendah,Rendah,Sosiologi,Auditori,Dokter,Komunitas Olahraga,Sekolah - Matematika,Kepemimpinan - Nasional,Teknik Industri
80,73,79,93,Pendidikan,Public Speaking,Sedang,Sedang,Tinggi,Sedang,Sedang,Sedang,Sosiologi,Auditori,Dosen,Pramuka,Kecamatan - Bahasa Inggris,Tidak Ada,Pendidikan
65,73,75,67,Bisnis,Menulis,Rendah,Tinggi,Tinggi,Tinggi,Rendah,Sedang,Bahasa Inggris,Membaca/Menulis,Business Analyst,OSIS,Tidak Ada,Tidak Ada,Administrasi Bisnis
85,96,74,95,Sosial,Public Speaking,Tinggi,Tinggi,Sedang,Sedang,Sedang,Sedang,Sosiologi,Membaca/Menulis,Dosen,OSIS,Tidak Ada,Tidak Ada,Hukum
70,97,56,89,Sosial,Public Speaking,Rendah,Tinggi,Tinggi,Tinggi,Rendah,Tinggi,Sosiologi,Auditori,Pengacara,OSIS,Kabupaten - Bahasa Inggris,Tidak Ada,Hukum
80,68,77,54,Teknik,Coding,Sedang,Sedang,Sedang,Sedang,Sedang,Tinggi,Matematika,Kinestetik,Software Engineer,Komunitas IT,Sekolah - Matematika,Organisasi - Nasional,Teknik Elektro
76,85,72,71,Teknologi,Coding,Sedang,Rendah,Rendah,Rendah,Tinggi,Rendah,Kimia,Auditori,Konsultan Lingkungan,Komunitas Seni,Kabupaten - Matematika,Kepemimpinan - Kabupaten,Teknik Industri
71,71,76,77,Sosial,Membaca,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Biologi,Membaca/Menulis,Dosen,OSIS,Tidak Ada,Kepemimpinan - Kabupaten,Psikologi
90,67,84,64,Teknologi,Mobile Development,Tinggi,Tinggi,Rendah,Tinggi,Sedang,Tinggi,Informatika,Membaca/Menulis,Data Scientist,Komunitas IT,Kecamatan - Matematika,Kepemimpinan - Internasional,Teknik Informatika
78,68,99,73,Teknik,Coding,Tinggi,Rendah,Sedang,Tinggi,Sedang,Tinggi,Fisika,Visual,Network Engineer,Tidak Aktif,Kecamatan - Matematika,Kepemimpinan - Nasional,Teknik Elektro
99,79,96,61,Lingkungan,Volunteering,Rendah,Sedang,Sedang,Tinggi,Sedang,Sedang,Biologi,Membaca/Menulis,Konsultan Lingkungan,OSIS,Sekolah - Kimia,Organisasi - Provinsi,Teknik Lingkungan
57,82,71,97,Sosial,Debat,Sedang,Tinggi,Sedang,Sedang,Sedang,Sedang,Bahasa Indonesia,Auditori,Dosen,OSIS,Internasional - Bahasa Inggris,Tidak Ada,Hukum
71,90,55,89,Bisnis,Investasi,Tinggi,Tinggi,Sedang,Tinggi,Sedang,Sedang,Bahasa Inggris,Membaca/Menulis,Manajer,BEM,Kecamatan - Ekonomi,Kepemimpinan - Sekolah,Administrasi Bisnis
82,78,78,80,Kesehatan,Volunteering,Rendah,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sosiologi,Auditori,Dosen,PMR,Tidak Ada,Organisasi - Kecamatan,Psikologi
80,78,75,73,Pendidikan,Membaca,Sedang,Rendah,Rendah,Sedang,Tinggi,Sedang,Kimia,Auditori,Insinyur Sipil,OSIS,Kecamatan - Debat,Organisasi - Kabupaten,Hukum
81,84,67,81,Bisnis,Content Creator,Tinggi,Sedang,Tinggi,Sedang,Sedang,Tinggi,Ekonomi,Visual,Business Analyst,BEM,Provinsi - Matematika,Kepemimpinan - Sekolah,Manajemen Bisnis
76,82,83,90,Bisnis,Berjualan,Sedang,Sedang,Sedang,Tinggi,Tinggi,Sedang,Matematika,Membaca/Menulis,UI UX Designer,Komunitas IT,Internasional - Informatika,Kepemimpinan - Kabupaten,Sistem Informasi
78,63,67,79,Seni,Video Editing,Tinggi,Sedang,Rendah,Sedang,Tinggi,Sedang,Bahasa Inggris,Kinestetik,Content Creator,Komunitas Seni,Kabupaten - Matematika,Organisasi - Sekolah,Desain Komunikasi Visual
68,64,78,71,Sosial,Public Speaking,Rendah,Rendah,Sedang,Rendah,Tinggi,Sedang,PJOK,Visual,Data Scientist,Organisasi Keagamaan,Tidak Ada,Tidak Ada,Hukum
60,77,62,75,Sosial,Debat,Rendah,Rendah,Sedang,Tinggi,Tinggi,Sedang,Sosiologi,Auditori,Insinyur Sipil,Paskibra,Kabupaten - Debat,Pramuka - Nasional,Hukum
95,87,89,74,Lingkungan,Volunteering,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Biologi,Membaca/Menulis,Dosen,Karang Taruna,Nasional - Biologi,Tidak Ada,Teknik Lingkungan
69,90,88,74,Bisnis,Public Speaking,Rendah,Tinggi,Tinggi,Rendah,Rendah,Tinggi,Fisika,Visual,Dosen,Komunitas IT,Kabupaten - Informatika,Organisasi - Kecamatan,Sistem Informasi
89,79,83,73,Teknik,Penelitian,Tinggi,Sedang,Sedang,Sedang,Tinggi,Tinggi,Matematika,Visual,Insinyur Sipil,OSIS,Sekolah - Matematika,Tidak Ada,Teknik Sipil
83,65,87,81,Kesehatan,Penelitian,Rendah,Tinggi,Tinggi,Sedang,Rendah,Tinggi,Kimia,Membaca/Menulis,Apoteker,Pramuka,Internasional - Kimia,Kepemimpinan - Internasional,Farmasi
81,87,80,79,Bisnis,Content Creator,Sedang,Sedang,Tinggi,Tinggi,Sedang,Tinggi,Ekonomi,Auditori,Entrepreneur,Karang Taruna,Kecamatan - Ekonomi,Organisasi - Kecamatan,Manajemen
83,83,81,69,Seni,Menggambar,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Tinggi,Fisika,Visual,Arsitek,OSIS,Internasional - Sains,Tidak Ada,Arsitektur
84,78,75,85,Teknologi,Berjualan,Rendah,Sedang,Sedang,Rendah,Sedang,Tinggi,Seni Budaya,Membaca/Menulis,Pengacara,Karang Taruna,Kabupaten - Informatika,Tidak Ada,Sistem Informasi
71,75,69,81,Teknologi,Public Speaking,Sedang,Rendah,Rendah,Sedang,Rendah,Sedang,Biologi,Auditori,Dosen,Komunitas Seni,Sekolah - Ekonomi,Olahraga - Nasional,Manajemen Bisnis
57,79,68,68,Seni,Fotografi,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Sedang,Informatika,Visual,Psikolog,Pramuka,Nasional - Bahasa Inggris,Tidak Ada,Desain Komunikasi Visual
71,82,83,67,Kesehatan,Volunteering,Tinggi,Tinggi,Sedang,Tinggi,Sedang,Sedang,Fisika,Visual,Entrepreneur,Tidak Aktif,Sekolah - Biologi,Kepemimpinan - Internasional,Kedokteran
71,88,78,71,Pendidikan,Membaca,Sedang,Tinggi,Tinggi,Sedang,Tinggi,Sedang,Bahasa Indonesia,Membaca/Menulis,Guru,OSIS,Kecamatan - Bahasa Inggris,Tidak Ada,Pendidikan
87,81,81,72,Pendidikan,Membaca,Sedang,Tinggi,Tinggi,Sedang,Sedang,Sedang,Bahasa Indonesia,Membaca/Menulis,Guru,Paskibra,Sekolah - Debat,Pramuka - Internasional,Pendidikan
64,71,69,86,Pendidikan,Public Speaking,Rendah,Sedang,Tinggi,Tinggi,Sedang,Sedang,Sosiologi,Membaca/Menulis,Guru,PMR,Kabupaten - Matematika,Paskibra - Kabupaten,Pendidikan
90,70,75,67,Teknik,Fotografi,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Fisika,Kinestetik,Arsitek,Komunitas Seni,Kecamatan - Fisika,Organisasi - Nasional,Arsitektur
86,81,86,72,Teknik,Membaca,Sedang,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Fisika,Visual,Business Analyst,OSIS,Kecamatan - Fisika,Olahraga - Kabupaten,Teknik Industri
69,76,66,61,Teknik,Musik,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Rendah,Geografi,Membaca/Menulis,Content Creator,Pramuka,Kecamatan - Fisika,Tidak Ada,Teknik Mesin
64,75,63,76,Teknik,Esport,Tinggi,Tinggi,Rendah,Rendah,Tinggi,Rendah,Biologi,Visual,Insinyur Sipil,OSIS,Tidak Ada,Olahraga - Internasional,Teknik Industri
77,75,69,62,Teknik,Penelitian,Sedang,Rendah,Rendah,Sedang,Tinggi,Tinggi,Seni Budaya,Visual,UI UX Designer,Tidak Aktif,Kabupaten - Sains,Kepemimpinan - Internasional,Arsitektur
80,88,83,60,Teknik,Robotika,Sedang,Rendah,Rendah,Tinggi,Sedang,Tinggi,Matematika,Kinestetik,Software Engineer,Tidak Aktif,Tidak Ada,Tidak Ada,Teknik Elektro
64,83,89,88,Pendidikan,Public Speaking,Sedang,Tinggi,Sedang,Sedang,Sedang,Sedang,Bahasa Inggris,Membaca/Menulis,Dosen,OSIS,Kecamatan - Matematika,Kepemimpinan - Provinsi,Pendidikan
66,64,71,86,Seni,Fotografi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Seni Budaya,Visual,UI UX Designer,Komunitas Seni,Tidak Ada,Olahraga - Nasional,Desain Komunikasi Visual
100,70,75,81,Seni,Menggambar,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Matematika,Kinestetik,UI UX Designer,Komunitas Seni,Sekolah - Fisika,Seni - Provinsi,Arsitektur
86,79,94,71,Teknik,Berjualan,Sedang,Sedang,Tinggi,Tinggi,Sedang,Tinggi,Fisika,Membaca/Menulis,Manajer,OSIS,Sekolah - Fisika,Tidak Ada,Teknik Industri
81,85,92,80,Teknik,Membaca,Sedang,Sedang,Tinggi,Sedang,Sedang,Tinggi,Matematika,Membaca/Menulis,Business Analyst,Komunitas IT,Tidak Ada,Kepemimpinan - Kabupaten,Teknik Industri
91,70,78,74,Teknik,Merakit Elektronik,Tinggi,Rendah,Tinggi,Sedang,Sedang,Tinggi,Fisika,Visual,Insinyur Mesin,Komunitas IT,Tidak Ada,Kepemimpinan - Nasional,Teknik Mesin
68,80,78,69,Teknologi,Coding,Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Informatika,Visual,Business Analyst,Komunitas IT,Tidak Ada,Tidak Ada,Sistem Informasi
80,92,60,77,Bisnis,Investasi,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Matematika,Auditori,Business Analyst,BEM,Sekolah - Ekonomi,Organisasi - Nasional,Manajemen Bisnis
57,75,59,66,Pendidikan,Sepak Bola,Rendah,Rendah,Sedang,Tinggi,Sedang,Rendah,Sejarah,Membaca/Menulis,UI UX Designer,Tidak Aktif,Tidak Ada,Tidak Ada,Ilmu Keolahragaan
78,79,81,88,Lingkungan,Penelitian,Sedang,Sedang,Sedang,Sedang,Sedang,Tinggi,Kimia,Kinestetik,Konsultan Lingkungan,Pramuka,Nasional - Sains,Pramuka - Internasional,Teknik Lingkungan
78,81,86,83,Teknik,Penelitian,Sedang,Rendah,Sedang,Tinggi,Tinggi,Sedang,Fisika,Visual,Insinyur Sipil,Tidak Aktif,Tidak Ada,Olahraga - Nasional,Teknik Sipil
54,78,70,89,Bisnis,Content Creator,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Ekonomi,Visual,Manajer,MPK,Nasional - Debat,Tidak Ada,Manajemen
62,66,73,59,Bisnis,Berjualan,Rendah,Sedang,Sedang,Sedang,Sedang,Sedang,Matematika,Membaca/Menulis,Insinyur Mesin,Komunitas Seni,Tidak Ada,Organisasi - Internasional,Akuntansi
72,87,78,64,Bisnis,Coding,Tinggi,Sedang,Sedang,Tinggi,Rendah,Sedang,Bahasa Inggris,Membaca/Menulis,Psikolog,Tidak Aktif,Kabupaten - Fisika,Organisasi - Nasional,Teknik Industri
80,85,87,86,Teknik,Desain Grafis,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Sedang,Matematika,Visual,Arsitek,Komunitas Seni,Kabupaten - Fisika,Organisasi - Nasional,Arsitektur
64,86,60,90,Bisnis,Investasi,Tinggi,Sedang,Sedang,Tinggi,Sedang,Sedang,Sosiologi,Auditori,Business Analyst,BEM,Tidak Ada,Tidak Ada,Manajemen
94,73,94,73,Kesehatan,Penelitian,Tinggi,Tinggi,Sedang,Tinggi,Sedang,Sedang,Biologi,Membaca/Menulis,Dokter,PMR,Nasional - Sains,Olahraga - Kabupaten,Kedokteran
97,67,98,77,Teknik,Membaca,Sedang,Rendah,Sedang,Tinggi,Sedang,Tinggi,Matematika,Visual,Insinyur Sipil,BEM,Nasional - Matematika,Organisasi - Provinsi,Teknik Sipil
77,77,58,80,Sosial,Public Speaking,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Bahasa Indonesia,Visual,Content Creator,OSIS,Tidak Ada,Organisasi - Nasional,Ilmu Komunikasi
98,61,96,56,Teknologi,Coding,Sedang,Tinggi,Sedang,Sedang,Tinggi,Sedang,Fisika,Kinestetik,Software Engineer,Komunitas IT,Kabupaten - Fisika,Organisasi - Kabupaten,Teknik Elektro
89,77,88,82,Kesehatan,Volunteering,Sedang,Tinggi,Rendah,Tinggi,Sedang,Tinggi,Kimia,Visual,Apoteker,OSIS,Kecamatan - Biologi,Tidak Ada,Farmasi
59,88,59,73,Sosial,Menulis,Sedang,Sedang,Tinggi,Tinggi,Sedang,Tinggi,Bahasa Inggris,Visual,Content Creator,MPK,Tidak Ada,Organisasi - Kecamatan,Ilmu Komunikasi
94,84,78,66,Bisnis,Membaca,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Matematika,Membaca/Menulis,Business Analyst,OSIS,Kabupaten - Fisika,Pramuka - Kabupaten,Teknik Industri
81,83,70,83,Bisnis,Coding,Tinggi,Sedang,Sedang,Sedang,Sedang,Sedang,Ekonomi,Membaca/Menulis,Business Analyst,Komunitas IT,Kecamatan - Ekonomi,Kepemimpinan - Nasional,Sistem Informasi
75,73,60,95,Bisnis,Investasi,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Ekonomi,Auditori,Entrepreneur,MPK,Provinsi - Debat,Kepemimpinan - Kabupaten,Manajemen
76,77,62,85,Sosial,Menulis,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Sosiologi,Auditori,Content Creator,BEM,Tidak Ada,Tidak Ada,Ilmu Komunikasi
93,79,91,68,Teknik,Merakit Elektronik,Rendah,Sedang,Tinggi,Sedang,Tinggi,Sedang,Fisika,Visual,Insinyur Mesin,OSIS,Provinsi - Fisika,Tidak Ada,Teknik Mesin
79,73,83,75,Sosial,Menulis,Sedang,Tinggi,Sedang,Tinggi,Sedang,Sedang,Bahasa Indonesia,Visual,Content Creator,OSIS,Provinsi - Bahasa Indonesia,Tidak Ada,Ilmu Komunikasi
85,76,74,69,Teknik,Coding,Rendah,Sedang,Tinggi,Tinggi,Sedang,Tinggi,Sosiologi,Membaca/Menulis,Entrepreneur,MPK,Tidak Ada,Tidak Ada,Teknik Industri
77,82,86,72,Pendidikan,Penelitian,Sedang,Sedang,Tinggi,Sedang,Tinggi,Rendah,Ekonomi,Auditori,Guru,BEM,Provinsi - Biologi,PMR - Nasional,Kedokteran
